tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,35084,7397,8957997,146001,2017-08-01 16:23:56+00:00
892177421306343426,30374,5511,8957997,146001,2017-08-01 00:17:27+00:00
891815181378084864,22840,3637,8957997,146001,2017-07-31 00:18:03+00:00
891689557279858688,38331,7561,8957997,146001,2017-07-30 15:58:51+00:00
891327558926688256,36603,8153,8957997,146001,2017-07-29 16:00:24+00:00
891087950875897856,18464,2734,8957997,146001,2017-07-29 00:08:17+00:00
890971913173991426,10733,1770,8957997,146001,2017-07-28 16:27:12+00:00
890729181411237888,59049,16553,8957997,146001,2017-07-28 00:22:40+00:00
890609185150312448,25420,3786,8957996,146001,2017-07-27 16:25:51+00:00
890240255349198849,29001,6419,8957996,146001,2017-07-26 15:59:51+00:00
890006608113172480,27993,6439,8957996,146001,2017-07-26 00:31:25+00:00
889880896479866881,25440,4371,8957996,146001,2017-07-25 16:11:53+00:00
889665388333682689,43688,8777,8957996,146001,2017-07-25 01:55:32+00:00
889638837579907072,24553,3925,8957996,146001,2017-07-25 00:10:02+00:00
889531135344209921,13833,1980,8957996,146001,2017-07-24 17:02:04+00:00
889278841981685760,22894,4667,8957996,146001,2017-07-24 00:19:32+00:00
888917238123831296,26524,3933,8957996,146001,2017-07-23 00:22:39+00:00
888804989199671297,23279,3720,8957996,146001,2017-07-22 16:56:37+00:00
888554962724278272,17959,3035,8957996,146001,2017-07-22 00:23:06+00:00
888078434458587136,19857,3047,8957996,146001,2017-07-20 16:49:33+00:00
887705289381826560,27593,4735,8957996,146001,2017-07-19 16:06:48+00:00
887517139158093824,42201,10320,8957996,146001,2017-07-19 03:39:09+00:00
887473957103951883,62495,15766,8957996,146001,2017-07-19 00:47:34+00:00
887343217045368832,30643,9245,8957996,146001,2017-07-18 16:08:03+00:00
887101392804085760,27937,5232,8957996,146001,2017-07-18 00:07:08+00:00
886983233522544640,31651,6700,8957996,146001,2017-07-17 16:17:36+00:00
886736880519319552,10883,2786,8957996,146001,2017-07-16 23:58:41+00:00
886680336477933568,20494,3929,8957996,146001,2017-07-16 20:14:00+00:00
886366144734445568,19240,2774,8957996,146001,2017-07-15 23:25:31+00:00
886267009285017600,108,3,8957996,146001,2017-07-15 16:51:35+00:00
886258384151887873,25489,5544,8957996,146001,2017-07-15 16:17:19+00:00
886054160059072513,0,96,8957996,146001,2017-07-15 02:45:48+00:00
885984800019947520,29666,5890,8957996,146001,2017-07-14 22:10:11+00:00
885528943205470208,32748,5607,8957996,146001,2017-07-13 15:58:47+00:00
885518971528720385,18653,3277,8957996,146001,2017-07-13 15:19:09+00:00
885311592912609280,0,16212,8957996,146001,2017-07-13 01:35:06+00:00
885167619883638784,19929,3839,8957996,146001,2017-07-12 16:03:00+00:00
884925521741709313,69956,15833,8957996,146001,2017-07-12 00:01:00+00:00
884876753390489601,25336,4904,8957996,146001,2017-07-11 20:47:12+00:00
884562892145688576,22122,4124,8957996,146001,2017-07-11 00:00:02+00:00
884441805382717440,24723,4996,8957996,146001,2017-07-10 15:58:53+00:00
884247878851493888,65941,17817,8957996,146001,2017-07-10 03:08:17+00:00
884162670584377345,18588,2625,8957996,146001,2017-07-09 21:29:42+00:00
883838122936631299,19888,2998,8957996,146001,2017-07-09 00:00:04+00:00
883482846933004288,41706,8661,8957996,146001,2017-07-08 00:28:19+00:00
883360690899218434,20658,3227,8957996,146001,2017-07-07 16:22:55+00:00
883117836046086144,33782,5824,8957996,146001,2017-07-07 00:17:54+00:00
882992080364220416,21742,3400,8957997,146001,2017-07-06 15:58:11+00:00
882762694511734784,25715,4287,8957997,146001,2017-07-06 00:46:41+00:00
882627270321602560,25533,5318,8957997,146001,2017-07-05 15:48:34+00:00
882268110199369728,40789,10165,8957997,146001,2017-07-04 16:01:23+00:00
882045870035918850,26691,4269,8957997,146001,2017-07-04 01:18:17+00:00
881906580714921986,22195,2988,8957997,146001,2017-07-03 16:04:48+00:00
881666595344535552,46175,9367,8957997,146001,2017-07-03 00:11:11+00:00
881633300179243008,115,7,8957997,146001,2017-07-02 21:58:53+00:00
881536004380872706,45063,14059,8957997,146001,2017-07-02 15:32:16+00:00
881268444196462592,21223,4659,8957997,146001,2017-07-01 21:49:04+00:00
880935762899988482,15590,2451,8957997,146001,2017-06-30 23:47:07+00:00
880872448815771648,19408,3356,8957997,146001,2017-06-30 19:35:32+00:00
880465832366813184,25920,5460,8957997,146001,2017-06-29 16:39:47+00:00
880221127280381952,24538,3645,8957997,146001,2017-06-29 00:27:25+00:00
880095782870896641,25169,3820,8957997,146001,2017-06-28 16:09:20+00:00
879862464715927552,20395,3057,8957997,146001,2017-06-28 00:42:13+00:00
879674319642796034,288,10,8957997,146001,2017-06-27 12:14:36+00:00
879492040517615616,21421,2782,8957997,146001,2017-06-27 00:10:17+00:00
879415818425184262,96315,39189,8957997,146001,2017-06-26 19:07:24+00:00
879376492567855104,15380,2751,8957997,146001,2017-06-26 16:31:08+00:00
879130579576475649,0,5998,8957997,146001,2017-06-26 00:13:58+00:00
879050749262655488,20573,4142,8957996,146001,2017-06-25 18:56:45+00:00
879008229531029506,17340,2354,8957996,146001,2017-06-25 16:07:47+00:00
878776093423087618,17694,3613,8957996,146001,2017-06-25 00:45:22+00:00
878604707211726852,27420,6214,8957996,146001,2017-06-24 13:24:20+00:00
878404777348136964,0,1121,8957996,146001,2017-06-24 00:09:53+00:00
878316110768087041,0,5835,8957996,146001,2017-06-23 18:17:33+00:00
878281511006478336,7035,1121,8957996,146001,2017-06-23 16:00:04+00:00
878057613040115712,38439,5998,8957996,146001,2017-06-23 01:10:23+00:00
877736472329191424,72078,16662,8957996,146001,2017-06-22 03:54:17+00:00
877611172832227328,0,71,8957996,146001,2017-06-21 19:36:23+00:00
